"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALAK Jerzy Andrzej - KW BEZPARTYJNI SAMORZĄDOWCY";"CALIŃSKA-MAYER Małgorzata Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZDROJEWSKA Barbara Grażyna - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI"
62;"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;102;211;596
63;"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;78;150;371
64;"Szkoła Podstawowa nr 1, ul. Nowowiejska 78, 50-315 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;152;323;655
65;"Szkoła Podstawowa nr 107, ul. Bolesława Prusa 64, 50-318 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;183;344;892
66;"Szkoła Podstawowa nr 107, ul. Bolesława Prusa 64, 50-318 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;189;330;747
67;"Szkoła Podstawowa nr 84, ul. Łukasza Górnickiego 20, 50-337 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;189;315;765
68;"Szkoła Podstawowa Nr 1, ul. Nowowiejska 78, 50-315 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;176;250;969
69;"Politechnika Wrocławska Budynek F - 3, ul. Odona Bujwida 36/38, 50-368 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;165;313;869
169;"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;219;274;881
170;"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;116;212;438
171;"Sportowa Szkoła Podstawowa nr 46, ul. Ścinawska 21, 53-628 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;145;197;683
172;"Wrocławski Zakład Aktywności Zawodowej, ul. Litomska 10, 53-641 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;127;255;603
173;"Wrocławski Zakład Aktywności Zawodowej, ul. Litomska 10, 53-641 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;108;290;656
174;"Zespół Szkolno-Przedszkolny nr 18, ul. Poznańska 26, 53-630 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;122;210;498
175;"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;207;400;881
176;"Zespół Szkolno-Przedszkolny nr 18, ul. Poznańska 26, 53-630 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;108;206;500
177;"Szkoła Podstawowa nr 14, ul. Zachodnia 2, 53-644 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;124;261;594
178;"Szkoła Podstawowa nr 14, ul. Zachodnia 2, 53-644 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;124;202;568
179;"Zespół Szkolno-Przedszkolny nr 18, ul. Poznańska 26, 53-630 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;129;226;598
180;"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;119;259;560
181;"Elektroniczne Zakłady Naukowe, ul. Braniborska 57, 53-680 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;150;247;687
182;"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;199;380;1027
183;"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;156;366;846
184;"Zespół Szkół nr 20, ul. Kłodnicka 36, 54-218 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;204;386;957
185;"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;161;351;1016
186;"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;229;372;1088
187;"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;209;383;1198
188;"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;282;429;1424
189;"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;174;332;781
190;"Zespół Szkolno-Przedszkolny nr 2, ul. Eugeniusza Horbaczewskiego 61, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;145;416;708
191;"Zespół Szkolno-Przedszkolny nr 2, ul. Eugeniusza Horbaczewskiego 61, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;188;340;748
192;"Zespół Szkolno-Przedszkolny nr 2, ul. Eugeniusza Horbaczewskiego 61, 54-130 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;184;385;815
193;"Zespół Szkolno-Przedszkolny nr 7, ul. Koszykarska 2 - 4, 54-134 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;157;348;642
194;"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;146;269;575
195;"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;310;496;1066
196;"Wrocławski Klub ""Anima"", ul. Pilczycka 47, 54-150 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;204;424;907
197;"Zespół Szkół nr 21, ul. Piotra Ignuta 28, 54-151 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;177;395;933
198;"Zespół Szkół nr 21, ul. Piotra Ignuta 28, 54-151 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;156;385;822
199;"Zespół Szkół nr 21, ul. Piotra Ignuta 28, 54-151 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;138;362;631
200;"Szkoła Podstawowa nr 33, ul. Kolista 17, 54-152 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;149;307;809
201;"Szkoła Podstawowa nr 33, ul. Kolista 17, 54-152 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;184;370;882
202;"Szkoła Podstawowa nr 33, ul. Kolista 17, 54-152 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;176;323;789
203;"Szkoła Podstawowa nr 3, ul. Bobrza 27, 54-220 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;130;285;791
204;"Szkoła Podstawowa nr 3, ul. Bobrza 27, 54-220 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;107;264;839
205;"Szkoła Podstawowa nr 5, ul. Jelenia 7, 54-242 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;202;274;944
206;"Szkoła Podstawowa nr 5, ul. Jelenia 7, 54-242 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;291;405;1425
207;"Szkoła Podstawowa nr 5, ul. Jelenia 7, 54-242 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;104;238;696
208;"Szkoła Podstawowa nr 3, ul. Bobrza 27, 54-220 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;152;317;804
209;"Zespół Szkół nr 3, ul. Szkocka 64, 54-402 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;191;447;806
210;"Zespół Szkół nr 3, ul. Szkocka 64, 54-402 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;141;361;576
211;"Szkoła Podstawowa nr 28, ul. Grecka 59, 54-406 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;134;308;761
212;"Szkoła Podstawowa nr 28, ul. Grecka 59, 54-406 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;160;363;786
213;"Wrocławski Klub Formaty, ul. Samborska 3 - 5, 54-615 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;413;433;1757
214;"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;212;356;1096
215;"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;298;369;1409
216;"Zespół Szkolno-Przedszkolny nr 15, ul. Stanisławowska 38 - 44, 54-611 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;317;310;1565
217;"Zespół Szkół nr 6, ul. Nowodworska 70 - 82, 54-438 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;183;435;765
218;"Zespół Szkół nr 6, ul. Nowodworska 70 - 82, 54-438 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;131;384;679
219;"Zespół Szkół nr 6, ul. Nowodworska 70 - 82, 54-438 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;109;262;554
220;"Zespół Szkół nr 6, ul. Nowodworska 70 - 82, 54-438 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;136;396;753
221;"Liceum Ogólnokształcące nr XV, ul. Wojrowicka 58, 54-436 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;189;353;903
222;"Zespół Szkolno-Przedszkolny nr 1, ul. Zemska 16c, 54-438 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;155;394;671
223;"Zespół Szkolno-Przedszkolny nr 1, ul. Zemska 16c, 54-438 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;114;308;520
224;"Liceum Ogólnokształcące nr XV, ul. Wojrowicka 58, 54-436 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;146;299;650
225;"Rada Osiedla Kuźniki, ul. Sarbinowska 19 - 21, 54-320 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;140;327;697
226;"Szkoła Podstawowa Nr 37, ul. Sarbinowska 10, 54-320 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;157;310;904
227;"Rada Osiedla Kuźniki, ul. Sarbinowska 19 - 21, 54-320 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;139;317;697
228;"Rada Osiedla Żerniki, ul. Żernicka 219, 54-510 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;188;304;852
229;"Zespół Szkolno-Przedszkolny nr 10, ul. Rumiankowa 34, 54-512 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;166;303;767
230;"Rada Osiedla Jerzmanowo-Jarnołtów-Strachowice-Osiniec, ul. Jerzmanowska 102, 54-530 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;232;526;726
231;"Ośrodek Postaw Twórczych Zamek, pl. Świętojański 1, 54-076 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;233;446;914
232;"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;271;342;891
233;"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;245;368;857
234;"Szkoła Podstawowa nr 51, ul. Krępicka 50, 54-018 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;364;527;1285
235;"Ośrodek Postaw Twórczych Zamek, pl. Świętojański 1, 54-076 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;217;386;656
236;"Zespół Szkolno-Przedszkolny nr 14, ul. Częstochowska 42, 54-031 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;335;376;1209
237;"Zespół Szkolno-Przedszkolny nr 14, ul. Częstochowska 42, 54-031 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;278;529;1272
238;"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;376;454;1057
239;"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;411;377;1319
240;"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;350;397;1298
241;"Dolnośląski Specjalny Ośrodek Szkolno-Wychowawczy nr 13 dla Uczniów Niewidomych i Słabowidzących oraz z innymi niepełnosprawnościami im. Marii Grzegorzewskiej we Wrocławiu, ul. Kamiennogórska 16, 54-034 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;292;310;955
242;"Zespół Szkolno-Przedszkolny nr 12, ul. Lubelska 95a, 54-101 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;277;349;1308
243;"Zespół Szkolno-Przedszkolny nr 12, ul. Suwalska 5, 54-104 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;371;360;1601
244;"Zespół Szkolno-Przedszkolny nr 12, ul. Suwalska 5, 54-104 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;324;341;1536
245;"Zespół Szkolno-Przedszkolny nr 12, ul. Suwalska 5, 54-104 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;293;352;1355
246;"Zespół Szkolno-Przedszkolny nr 20, ul. Karpnicka 2, 54-061 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;499;501;1468
247;"Zespół Szkolno-Przedszkolny nr 20, ul. Karpnicka 2, 54-061 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;384;419;1088
248;"Liceum Ogólnokształcące nr XIV, al. Aleksandra Brücknera 10, 51-410 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;235;368;985
249;"Szkoła Podstawowa nr 83, al. Tadeusza Boya-Żeleńskiego 32, 51-160 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;244;359;1217
250;"Szkoła Podstawowa nr 83, ul. Stanisława Przybyszewskiego 59, 51-151 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;137;295;863
251;"Szkoła Podstawowa Nr 83, al. Tadeusza Boya-Żeleńskiego 32, 51-160 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;160;391;1057
252;"Szkoła Podstawowa Nr 83, ul. Stanisława Przybyszewskiego 59, 51-151 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;135;240;679
253;"Szkoła Podstawowa Nr 83, ul. Stanisława Przybyszewskiego 59, 51-151 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;186;221;632
254;"Szkoła Podstawowa nr 20, ul. Henryka Michała Kamieńskiego 24, 51-124 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;186;376;839
255;"Szkoła Podstawowa nr 20, ul. Henryka Michała Kamieńskiego 24, 51-124 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;189;371;861
256;"Szkoła Podstawowa Nr 50, ul. Czeska 38, 51-112 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;98;253;435
257;"Szkoła Podstawowa Nr 50, ul. Czeska 38, 51-112 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;205;302;642
258;"Szkoła Podstawowa nr 50, ul. Czeska 38, 51-112 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;81;171;455
259;"Liceum Ogólnokształcące nr X, ul. Piesza 1, 51-109 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;401;424;1830
260;"Liceum Ogólnokształcące nr X, ul. Piesza 1, 51-109 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;173;355;954
261;"Szkoła Podstawowa Nr 50, ul. Czeska 40, 51-112 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;75;150;370
262;"Szkoła Podstawowa Nr 50, ul. Czeska 40, 51-112 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;162;213;813
263;"Szkoła Podstawowa Nr 50, ul. Czeska 40, 51-112 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;179;377;873
264;"Szkoła Podstawowa nr 8, ul. Kowalska 105, 51-424 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;164;312;628
265;"Liceum Ogólnokształcące nr XIV, al. Aleksandra Brücknera 10, 51-410 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;98;141;398
266;"Szkoła Podstawowa nr 6, ul. Gorlicka 25, 51-314 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;218;389;932
267;"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;222;344;991
268;"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;241;356;913
269;"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;185;373;768
270;"Zespół Szkolno-Przedszkolny nr 3, ul. Inflancka 13, 51-354 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;197;440;861
271;"Szkoła Podstawowa nr 98, ul. Sycowska 22a, 51-319 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;151;336;634
272;"Szkoła Podstawowa nr 98, ul. Sycowska 22a, 51-319 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;117;381;518
273;"Szkoła Podstawowa nr 6, ul. Gorlicka 25, 51-314 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;371;462;1361
274;"Szkoła Podstawowa nr 44, ul. Wilanowska 31, 51-206 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;272;594;1044
275;"Szkoła Podstawowa nr 44, ul. Wilanowska 31, 51-206 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;214;440;929
276;"Fundacja PRZYJAZNY DOM im. Stanisława Jabłonki, ul. gen. Leopolda Okulickiego 2, 51-216 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;166;499;648
277;"Publiczna Szkoła i Przedszkole MARCO POLO, ul. Zatorska 11, 51-215 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;306;457;1146
278;"Zespół Szkolno-Przedszkolny nr 23, ul. Przedwiośnie 47, 51-211 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;204;518;770
279;"Zespół Szkolno-Przedszkolny nr 4 (Szkoła Podstawowa nr 40), ul. Sołtysowicka 34, 51-168 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;195;284;786
280;"Zespół Szkolno-Przedszkolny nr 4 (Szkoła Podstawowa nr 40), ul. Sołtysowicka 34, 51-168 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;356;385;1410
281;"Siedziba Rady Osiedla Polanowice-Poświętne-Ligota, ul. Henryka Michała Kamieńskiego 190, 51-124 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;360;479;1528
282;"Świetlica Osiedlowa Rady Osiedla Polanowice-Poświętne-Ligota, ul. Henryka Michała Kamieńskiego 256, 51-180 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;239;262;1098
283;"Siedziba Rady Osiedla Widawa, ul. Kominiarska 68, 51-180 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;137;294;674
284;"Rada Osiedla Lipa Piotrowska, ul. Tymiankowa 3, 51-180 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;372;251;1224
285;"Rada Osiedla Świniary, ul. Pęgowska 14, 51-180 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;325;415;1076
286;"Zespół Szkolno-Przedszkolny nr 5, ul. Osobowicka 127, 51-004 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;233;426;1123
291;"Samodzielny Publiczny Zakład Opieki Zdrowotnej MSWiA we Wrocławiu, budynek czerwony, pok. 53, ul. Ołbińska 32, 50-233 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;1;14;13
292;"""Dolnośląskie Centrum Zdrowia Psychicznego"" sp. z o. o., wyb. Józefa Conrada-Korzeniowskiego 18, 50-226 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;16;20;32
293;"Zakład Karny Nr 1, ul. Kleczkowska 35, 50-211 Wrocław";26401;"m. Wrocław";"Wrocław";"dolnośląskie";1;1;141;111;636
