"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"PURPUROWICZ Zbigniew - KW PRAWO I SPRAWIEDLIWOŚĆ";"PRUCNAL Janusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KALISZUK Ewa Monika - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"ORZECHOWSKA Anna Maria - KW WIS";"STAROŃ Lidia Ewa - KWW LIDIA STAROŃ"
3;"Szkoła Podstawowa w Zaborowie, Zaborowo 2, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;88;30;65;8;200
4;"Świetlica Wiejska w Krokowie, Krokowo 30A, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;39;16;27;4;101
5;"Szkoła Podstawowa w Szkotowie, Szkotowo 51, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;78;20;110;17;158
6;"Szkoła Podstawowa w Rogożu, Rogóż 4, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;53;13;42;8;138
7;"Świetlica Wiejska w Sarnowie, Sarnowo 57, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;65;20;57;16;90
8;"Świetlica Wiejska w Januszkowie, Januszkowo 9A, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;28;17;26;3;45
9;"Świetlica Wiejska w Sławce Wielkiej, Sławka Wielka 17D, 13-124 Kozłowo";281103;"gm. Kozłowo";"nidzicki";"warmińsko-mazurskie";1;1;85;16;18;7;55
1;"Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi im. Michała Kajki w Nidzicy, ul. Barke 3, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;247;71;464;35;513
2;"Przedszkole Nr 4 „KRAINA ODKRYWCÓW” w Nidzicy, ul. Krzywa 7, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;128;42;216;11;209
3;"Szkoła Podstawowa Nr 1 im. Mikołaja Kopernika w Nidzicy, ul. Kopernika 1, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;170;39;344;18;310
4;"Zespół Szkół Ogólnokształcących w Nidzicy, ul. Władysława Jagiełły 1, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;197;48;383;21;365
5;"Zespół Szkół Zawodowych i Ogólnokształcących im. Stanisława Staszica w Nidzicy, ul. Władysława Jagiełły 3, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;185;39;314;14;317
6;"Centrum Rehabilitacyjno-Edukacyjne w Nidzicy, ul. Krzywa 8, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;137;34;172;10;204
7;"Przedszkole Nr 2 w Nidzicy, ul. 1 Maja 36, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;98;20;144;11;165
8;"Szkoła Podstawowa Nr 3 im. Janusza Korczaka w Nidzicy, ul. 1 Maja 42, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;208;76;465;25;376
9;"Szkoła Podstawowa im. prof. Romana Kobendzy w Łynie, Łyna 26, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;96;22;114;13;196
10;"Szkoła Podstawowa im. Stanisława Mikołajczyka w Rączkach, Rączki 30, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;29;9;47;2;66
11;"Szkoła Podstawowa im. Jana Pawła II w Napiwodzie, Napiwoda 25A, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;112;48;278;11;250
12;"Świetlica Wiejska w Grzegórzkach, Grzegórzki 25/1, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;57;23;55;10;121
13;"Miejski Ośrodek Pomocy Społecznej w Nidzicy, ul. Kolejowa 5, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;147;55;293;16;275
14;"Świetlica Wiejska w Kanigowie, Kanigowo 18, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;27;6;28;2;102
15;"Świetlica Wiejska w Wietrzychowie, Wietrzychowo 19, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;26;6;33;6;63
16;"Świetlica Wiejska w Zagrzewie, Zagrzewo 8, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;52;20;16;4;96
17;"Świetlica Wiejska w Załuskach, Załuski 11/5, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;62;20;64;11;124
18;"Świtetlica Wiejska w Rozdrożu, Rozdroże 29A, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;68;11;40;7;124
19;"Zespół Opieki Zdrowotnej w Nidzicy, ul. Mickiewicza 23, 13-100 Nidzica";281104;"gm. Nidzica";"nidzicki";"warmińsko-mazurskie";1;1;9;0;6;1;14
1;"Szkoła Podstawowa nr 1 im. Feliksa Nowowiejskiego w Barczewie (łącznik), ul. Wojska Polskiego 36, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;128;48;246;27;207
2;"Skarbiec Kultury Europejskiej (Sala nr 1), ul. Grunwaldzka 15, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;91;29;223;13;159
3;"Przedszkole Miejskie w Barczewie, ul. Juliusza Słowackiego 7, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;102;34;323;14;212
4;"Szkoła Podstawowa nr 1 im. Feliksa Nowowiejskiego w Barczewie (mała sala gimnastyczna), ul. Wojska Polskiego 36, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;152;33;297;23;241
5;"Szkoła Podstawowa nr 3 im. Ziemi Warmińskiej w Barczewie wchodząca w skład Zespołu Szkół w Barczewie (hol główny), ul. Północna 14, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;91;25;149;6;109
6;"Szkoła Podstawowa nr 3 im. Ziemi Warmińskiej w Barczewie wchodząca w skład Zespołu Szkół w Barczewie (hala sportowa), ul. Północna 14, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;108;44;281;19;216
7;"Szkoła Filialna w Barczewku wchodząca w skład Zespołu Szkolno-Przedszkolnego w Łęgajnach, Barczewko 33, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;59;26;173;7;125
8;"Niepubliczny Zespół Szkół i Placówek w Kronowie, Kronowo 6, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;52;16;70;3;75
9;"Niepubliczny Zespół Szkół i Placówek w Lamkowie, Lamkowo 29, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;50;13;70;2;104
10;"Niepubliczny Zespół Szkół i Placówek w Wipsowie, Wipsowo 63, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;80;26;148;13;145
11;"Zespół Szkolno-Przedszkolny w Łęgajnach, Łęgajny ul. Ogrodowa 7, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;129;47;261;17;264
12;"Skarbiec Kultury Europejskiej (Sala nr 2), ul. Grunwaldzka 15, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;58;31;190;13;117
13;"Świetlica wiejska w Skajbotach, Skajboty 16, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;26;12;56;8;69
14;"Niepubliczny Zespół Szkół i Placówek w Ramsowie, Ramsowo 87, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;74;32;112;8;92
15;"Świetlica wiejska w Nikielkowie, Nikielkowo ul. Jana Grzymały 8, 10-376 Olsztyn";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;65;16;246;6;121
16;"Świetlica wiejska w Wójtowie, Wójtowo ul. Wierzbowa 1, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;131;47;550;16;233
17;"Świetlica wiejska w Ruszajnach, Ruszajny 34, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;72;48;205;7;136
18;"Budynek po byłej Szkole Podstawowej w Bartołtach Wielkich, Bartołty Wielkie 5, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;46;16;103;6;75
19;"Świetlica wiejska w Jedzbarku, Jedzbark 64, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;57;27;115;6;62
20;"Dom Pomocy Społecznej, ul. Józefa Ignacego Kraszewskiego 17, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;14;1;2;1;12
21;"Zakład Karny w Barczewie, ul. Klasztorna 7, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;46;44;244;24;46
22;"Maltańskie Centrum Pomocy pw. bł. Gerarda w Barczewie, ul. Niepodległości 9, 11-010 Barczewo";281401;"gm. Barczewo";"olsztyński";"warmińsko-mazurskie";1;1;1;0;2;1;1
1;"Centrum Kultury, Turystyki i Sportu w Biskupcu (sala 103), ul. Jana Matejki 5, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;104;33;270;9;218
2;"Centrum Kultury, Turystyki i Sportu w Biskupcu (sala 104), ul. Jana Matejki 5, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;113;31;238;13;239
3;"Szkoła Podstawowa Nr 3 w Biskupcu (sala nr 1), ul. Bolesława Chrobrego 15, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;118;28;241;5;250
4;"Szkoła Podstawowa Nr 2 w Biskupcu (sala nr 16), ul. Adama Mickiewicza 8, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;72;17;185;5;172
5;"Szkoła Podstawowa Nr 2 (sala nr 18), ul. Adama Mickiewicza 8, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;81;32;272;11;222
6;"Szkoła Podstawowa Nr 2 (sala nr 15), ul. Adama Mickiewicza 8, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;67;18;242;15;180
7;"Niepubliczna Szkoła Podstawowa im. Janusza Korczaka w Biskupcu (sala nr 10), ul. Ludowa 5, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;109;44;433;15;338
8;"Niepubliczna Szkoła Podstawowa im. Janusza Korczaka w Biskupcu (sala nr 12), ul. Ludowa 5, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;135;28;294;10;263
9;"Szkoła Podstawowa Nr 3 (sala nr 2), ul. Bolesława Chrobrego 15, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;20;13;62;5;65
10;"Szkoła Podstawowa w Czerwonce, Czerwonka 15, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;137;36;182;19;208
11;"Świetlica wiejska Biesowo, Biesowo 26, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;30;5;70;2;84
12;"Świetlica wiejska Stryjewo, Stryjewo 28A, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;24;8;34;2;48
13;"Społeczna Szkoła Podstawowa Bredynki, Bredynki 24, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;36;14;35;4;56
14;"Szkoła Podstawowa Nr 3 (sala nr 8), ul. Bolesława Chrobrego 15, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;18;8;30;3;53
15;"Świetlica wiejska Borki Wielkie, Borki Wielkie 37, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;48;9;67;2;134
16;"Świetlica wiejska Kobułty, Kobułty 82, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;35;9;51;6;84
17;"Świetlica wiejska Parleza Wielka, Parleza Wielka 38, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;24;17;40;5;73
18;"Świetlica wiejska Dymer, Dymer 8, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;31;21;48;6;61
19;"Świetlica wiejska Rzeck, Rzeck 79, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;59;17;59;8;104
20;"Świetlica Wiejska w Najdymowie, Najdymowo 50, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;28;11;63;3;89
21;"Świetlica Wiejska w Rukławkach, Rukławki 17, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;20;13;86;2;76
22;"Świetlica Wiejska w Węgoju, Węgój 61A, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;47;8;71;3;76
23;"Świetlica Wiejska w Stanclewie, Stanclewo 41D, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;26;14;36;2;93
24;"Świetlica Wiejska w Mojtynach, Mojtyny 32, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;37;9;26;3;44
25;"Świetlica Wiejska w Botowie, Botowo 18, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;22;9;20;3;20
26;"Świetlica Wiejska w Raszągu, Rasząg 12, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;28;7;29;2;58
27;"Szpital Powiatowy im. Jana Mikulicza w Biskupcu, ul. Armii Krajowej 8, 11-300 Biskupiec";281402;"gm. Biskupiec";"olsztyński";"warmińsko-mazurskie";1;1;13;2;27;2;20
1;"Remiza Ochotniczej Straży Pożarnej w Dobrym Mieście, ul. gen. Tadeusza Kościuszki 2D, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;105;28;184;10;172
2;"Szkoła Podstawowa Nr 3 w Dobrym Mieście, ul. Garnizonowa 20, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;159;76;374;14;222
3;"Centrum Kulturalno-Biblioteczne w Dobrym Mieście, ul. Górna 1a, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;185;64;319;13;250
4;"Zespół Szkół w Dobrym Mieście, ul. Fabryczna 6, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;80;61;171;5;171
5;"Szkoła Podstawowa Nr 2 w Dobrym Mieście, ul. Gdańska 13, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;220;55;368;19;307
6;"Przedszkole Samorządowe Nr 1 w Dobrym Mieście, ul. Warszawska 7A, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;230;63;459;22;337
7;"Szkoła Podstawowa w Barcikowie, Barcikowo 12a, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;63;42;131;9;153
8;"Świetlica wiejska, Cerkiewnik 16, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;64;18;126;4;97
9;"Świetlica wiejska, Głotowo 44b, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;63;22;70;7;99
10;"Świetlica wiejska, Knopin 39, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;32;16;98;5;101
11;"Świetlica wiejska, Łęgno 18, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;88;19;116;5;111
12;"Świetlica wiejska, Praslity 16A, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;41;14;51;4;59
13;"Środowiskowy Dom Samopomocy w Piotraszewie, Piotraszewo 7, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;33;6;41;9;63
14;"Świetlica wiejska, Smolajny 4, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;63;28;113;5;142
15;"Świetlica wiejska w Orzechowie, Orzechowo 12, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;48;15;34;5;87
16;"Świetlica wiejska, Jesionowo 1D, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;64;23;78;10;92
17;"Zespół Zakładów Opieki Zdrowotnej w Dobrym Mieście, ul. Grunwaldzka 10 B, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;7;0;3;2;2
18;"Dom Pomocy Społecznej w Dobrym Mieście, ul. Łużycka 73, 11-040 Dobre Miasto";281403;"gm. Dobre Miasto";"olsztyński";"warmińsko-mazurskie";1;1;1;2;2;1;1
1;"Urząd Gminy Dywity segment C Wejście do Sali Urzędu Stanu Cywilnego od strony parkingu Urzędu Gminy (Sala USC), ul. Olsztyńska 32, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;162;77;616;22;343
2;"Urząd Gminy Dywity segment C Wejście od strony Targowiska Wiejskiego Stodoła (Sala konferencyjna), ul. Olsztyńska 32, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;129;87;574;19;280
3;"Świetlica wiejska w Spręcowie, Spręcowo 106, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;71;29;174;5;130
4;"Szkoła Podstawowa w Tuławkach, Tuławki 31, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;67;18;91;6;89
5;"Świetlica wiejska w Gradkach, Gradki 32b, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;37;14;68;3;67
6;"Świetlica wiejska w Barkwedzie, Barkweda 14, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;23;12;41;5;65
7;"Świetlica wiejska w Słupach, Słupy 44, 10-381 Olsztyn";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;68;19;203;8;111
8;"Świetlica wiejska w Kieźlinach, Kieźliny ul. ks. Jakuba Jagałły 3a, 10-371 Olsztyn";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;228;90;725;26;344
9;"Świetlica wiejska w Różnowie, Różnowo 767, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;131;60;537;20;266
10;"Świetlica wiejska w Ługwałdzie, Ługwałd ul. Mikołaja Kopernika 34, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;37;22;272;9;87
11;"Świetlica wiejska w Dąbrówce Wielkiej, Dąbrówka Wielka 22A, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;11;7;64;2;34
12;"Świetlica wiejska w Sętalu, Sętal 25B, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;24;13;54;3;49
13;"Świetlica wiejska w Gadach, Gady 47a, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;27;18;113;8;95
14;"Budynek po byłej szkole we Frączkach, Frączki 4, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;20;8;37;3;62
15;"Świetlica wiejska w Brąswałdzie, Brąswałd 8a, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;26;20;106;4;58
16;"Świetlica wiejska w Bukwałdzie, Bukwałd 12, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;22;19;61;1;55
17;"KWO Sp. z o. o. Dom Pomocy Społecznej i Dom Opieki ""Dom Nad Doliną"", Różnowo 70A, 11-001 Dywity";281404;"gm. Dywity";"olsztyński";"warmińsko-mazurskie";1;1;5;0;11;1;4
1;"Świetlica wiejska ""Pod Lipą"" w Gronitach, Gronity ul. Olsztyńska 21, 11-036 Gietrzwałd";281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";1;1;77;66;512;10;174
2;"Szkoła Podstawowa w Sząbruku, Sząbruk ul. Andrzeja Samulowskiego 1, 11-036 Gietrzwałd";281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";1;1;91;35;329;17;192
3;"Świetlica wiejska w Unieszewie, Unieszewo ul. Lipowa 2, 11-036 Gietrzwałd";281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";1;1;54;32;227;14;166
4;"Gietrzwałdzki Ośrodek Kultury w Gietrzwałdzie, ul. Kościelna 1, 11-036 Gietrzwałd";281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";1;1;186;93;448;25;367
5;"Szkoła Podstawowa w Biesalu, Biesal 59, 11-036 Gietrzwałd";281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";1;1;111;52;318;14;192
6;"Dom Pomocy Społecznej w Grazymach, Grazymy 1, 11-036 Gietrzwałd";281405;"gm. Gietrzwałd";"olsztyński";"warmińsko-mazurskie";1;1;3;3;0;2;4
1;"Ośrodek Sportu i Rekreacji, ul. Konopnickiej 13E, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;137;29;290;14;294
2;"Zespół Szkół Ponadpodstawowych, ul. Mickiewicza 11, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;117;35;177;10;288
3;"Świetlica wiejska, Wójtówko 17/2, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;34;10;41;4;109
4;"Miejski Ośrodek Kultury, ul. Konopnickiej 4, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;114;48;192;10;215
5;"Świetlica wiejska, Radostowo 36, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;107;20;77;14;91
6;"Świetlica wiejska, Franknowo 14A, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;75;23;84;12;178
7;"Świetlica wiejska w Potrytach, Potryty 26, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;32;6;18;2;29
8;"Świetlica wiejska w Tłokowie, Tłokowo 14, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;41;7;31;2;69
9;"Świetlica wiejska w Zerbuniu, Zerbuń 23, 11-320 Jeziorany";281406;"gm. Jeziorany";"olsztyński";"warmińsko-mazurskie";1;1;30;12;21;0;33
